names	T0	T1	T2	T3
gene1	1	0.975515243	0.958611842	1
gene2	0.935217348	1	1	0.866068249
gene3	1	1	1	1
gene4	1	1	0.933925642	0.935065208
gene5	0.936495248	0.926351875	1	0.991205972
gene6	1	0.987626657	0.969344767	0.957138108
gene7	1	1	1	1
gene8	1	0.997117858	1	0.996432583
gene9	0.97117413	0.965023206	0.993798206	0.961871953
gene10	1	1	0.970247924	1
gene11	1	0.932269856	0.956944619	0.973340045
gene12	0.945700636	0.898931452	0.95906717	1
gene13	1	0.978208023	0.984364147	0.988184262
gene14	0.978837988	0.995141549	1	1
gene15	1	1	1	0.967117218
gene16	0.998975182	1	0.96910608	0.960064972
gene17	1	1	0.952078511	1
gene18	1	0.979485897	1	1
gene19	0.976744772	1	0.997308439	0.958842694
gene20	1	0.949860026	0.97044948	0.990184831
gene21	0.064719376	0.216856538	0.078402938	0.082378523
gene22	0.00040972	0.199751875	0.028267559	0.007663397
gene23	0.022677313	0.162525497	0.012024858	0.090394883
gene24	0.017697626	0.212608956	0.004893553	0.084390503
gene25	0.079342765	0.223544824	0	0.090667464
gene26	0.087691039	0.131081241	0.060810141	0.012782981
gene27	0.054274062	0.161273951	0	0.04788263
gene28	0	0.171970738	0	0.102113137
gene29	0.056784782	0.270111014	0	0
gene30	0.181039385	0.302600542	0.008216236	0.105824201
gene31	0.143871618	0.2693725	0.867693165	1
gene32	0.049289289	0.27574954	0.854313876	0.943085413
gene33	0.126155207	0.307530359	0.942192602	0.888879586
gene34	0.138845378	0.327817744	0.883875924	1
gene35	0.1319174	0.356514057	0.882177497	0.837126633
gene36	0.004882071	0.060021485	0.592181168	0.860210253
gene37	0	0.000987955	0.584880422	0.847426961
gene38	0	0.060532076	0.638134362	0.812975728
gene39	0	0.139505158	0.611627491	0.830863324
gene40	0.005568965	0	0.620023132	0.803515548
gene41	0.148796447	0.035854072	0.64766048	0.852961296
gene42	0	0.087064122	0.668692515	0.771973575
gene43	0	0.00951295	0.740442021	0.818973488
gene44	0	0.126065256	0.59305601	0.826924339
gene45	0	0.083857133	0.599754085	0.807036406
gene46	0.040857221	0.068660118	0.7057693	0.839233118
gene47	0.005469575	0.075084426	0.546061788	0.866206734
gene48	0	0.047316454	0.720195364	0.83402905
gene49	0	0.008339089	0.692625296	0.789253838
gene50	0.060288569	0.080861289	0.605280361	0.939279426
gene51	0	0.028770214	0.595008084	0.806641474
gene52	0	0.076625126	0.636419541	0.792662105
gene53	0	0.10208246	0.542110068	0.922707913
gene54	0.018900108	0.060637218	0.748522497	0.904800464
gene55	0.035449063	0.041349287	0.701265818	0.86240769
gene56	0	0.039629832	0.630745689	0.889364234
gene57	0.018038665	0.078217434	0.616775794	0.825842777
gene58	0.059093189	0.071268657	0.650716177	0.806965929
gene59	0.01171822	0.174330835	0.684673541	0.882460644
gene60	0.003222722	0.016431911	0.646844846	0.829715496
gene61	0	0	0.104317964	0.214218034
gene62	0.020064758	0.014508408	0.101549914	0.233517022
gene63	0.013672038	0.021886967	0.084777249	0.219388866
gene64	0	0	0.003636299	0.208923419
gene65	0	0.019461237	0.099269156	0.315706309
gene66	0.037177014	0	0.064318182	0.281135971
gene67	0	0.019819966	0.068133733	0.213620691
gene68	0	0.027732941	0.072553162	0.283568974
gene69	0.017006162	0	0.085283536	0.183124864
gene70	0	0	0.086699195	0.206150697
gene71	0.059919957	0	0.155255606	0.184186285
gene72	0	0.00148951	0.156092607	0.184759513
gene73	0	0.080929081	0.081455873	0.260785139
gene74	0.027490597	0	0.144161479	0.170385925
gene75	0	0.032831749	0.051060496	0.185227556
gene76	0	0.109166413	0.047333091	0.250345021
gene77	0.062019454	0	0.204664822	0.291815791
gene78	0	0.10484751	0.193547881	0.226401419
gene79	0.091066197	0	0.133479004	0.258617366
gene80	0	0.042867705	0.071918849	0.23641553
gene81	0	0.020368061	0.247541366	0.472157964
gene82	0	0	0.225141035	0.480903306
gene83	0	0	0.261651553	0.447263767
gene84	0	0	0.153878506	0.447638354
gene85	0.017481751	0.031010576	0.163820466	0.474674856
gene86	0.020723838	0	0.339931272	0.548219622
gene87	0.022430212	0	0.208649023	0.445500767
gene88	0.008484797	0.001749727	0.1882076	0.491260044
gene89	0.019869427	0	0.213934422	0.469440036
gene90	0.011838794	0	0.304083587	0.458303564
